,code,name,lat,long,tambon,amphoe,province,basin,region,station_type,geometry,index_right
5,BDLH  ,ทต.ลานหอย,17.008568,99.582944,ลานหอย,บ้านด่านลานหอย,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R,POINT (562048.5191703987 1880595.2054925137),0
21,BSMP  ,อบต.บึงสามพัน,15.7780576,101.0208832,บึงสามพัน,บึงสามพัน,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (716493.0421740364 1745424.0594145989),0
23,KRMT  ,ทต.บ้านโตนด,16.8337104,99.80272,โตนด,คีรีมาศ,สุโขทัย,แม่น้ำยม,ภาคเหนือ,R,POINT (585521.452742081 1861332.8994148157),0
27,LNR1  ,อบต.ท่ามะนาว,15.1993232,101.1638784,ท่ามะนาว,ชัยบาดาล,ลพบุรี,แม่น้ำป่าสัก,ภาคกลาง,R,POINT (732464.1843729914 1681523.50019383),0
28,SBT1  ,อบต.ชอนสารเดช,15.1849488,100.681312,ชอนสารเดช,หนองม่วง,ลพบุรี,แม่น้ำเจ้าพระยา,ภาคกลาง,R,POINT (680619.8148486458 1679476.6163647512),0
29,SPPT  ,อบต.นายาง,17.909768,99.3096896,นายาง,สบปราบ,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (532801.3167276946 1980229.9312950666),0
30,WTSG  ,ทต.วัดสิงห์,15.2583616,100.04496,วัดสิงห์,วัดสิงห์,ชัยนาท,แม่น้ำท่าจีน,ภาคกลาง,R,POINT (612210.3754313664 1687171.56948037),0
31,TTKO  ,ทต.ท่าตะโก,15.6324896,100.4748416,ท่าตะโก,ท่าตะโก,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (658095.8441732647 1728832.499914616),0
32,LTYO  ,ศูนย์อปพร.อบต.ลาดยาว,15.7627856,99.741344,ลาดยาว,ลาดยาว,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (579412.3655264974 1742835.8990045611),0
35,NGCG  ,ทต.หนองฉาง,15.3889504,99.8450304,หนองฉาง,หนองฉาง,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (590683.6261135213 1701523.842090734),0
38,NKYG  ,ทต.หนองขาหย่าง,15.3622016,99.9383872,หนองขาหย่าง,หนองขาหย่าง,อุทัยธานี,แม่น้ำสะแกกรัง,ภาคเหนือ,R,POINT (600715.708436894 1698606.247341706),0
39,BARI  ,ศูนย์อปพร. อบต.บ้านไร่,15.0826576,99.51936,บ้านไร่,บ้านไร่,อุทัยธานี,แม่น้ำท่าจีน,ภาคเหนือ,R,POINT (555814.2378258873 1667534.1500017697),0
41,HIKT  ,อบต.ห้วยคต,15.3036432,99.6097152,ห้วยคต,ห้วยคต,อุทัยธานี,แม่น้ำท่าจีน,ภาคเหนือ,R,POINT (565456.593682461 1692002.6538262058),0
72,PTYS  ,อบต.หนองกุงธนสาร,16.638704,102.4205952,หนองกุงธนสาร,ภูเวียง,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (864972.1570427029 1842709.5353302574),0
76,PPTC  ,อบต.โพธิ์ประทับช้าง,16.3106624,100.2953536,โพธิ์ประทับช้าง,โพธิ์ประทับช้าง,พิจิตร,แม่น้ำยม,ภาคเหนือ,R,POINT (638385.7444516947 1803739.0049871944),0
85,LGTI  ,อบต.บ้านแหง,18.7633824,100.0087616,บ้านแหง,งาว,ลำปาง,แม่น้ำยม,ภาคเหนือ,R,POINT (606325.6048027881 2074947.664665404),0
95,NNKO  ,อบต.โนนกอก,16.1992384,101.932384,โนนกอก,เกษตรสมบูรณ์,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (813543.9551611242 1793214.029502551),0
97,NNTU  ,อบต.นาหนองทุ่ม,16.67888,101.9871104,นาหนองทุ่ม,ชุมแพ,ขอนแก่น,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (818615.5933367477 1846416.988660791),0
101,NASW  ,อบต.นาซ่าว,17.824248,101.6691584,นาซ่าว,เชียงคาน,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (782926.4268497177 1972759.4729141903),0
102,TPUR  ,ทต.ภูเรือ,17.4578016,101.3606464,หนองบัว,ภูเรือ,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (750715.3642553324 1931750.583097502),0
103,NMNO  ,อบต.น้ำหนาว,16.7702416,101.6699584,น้ำหนาว,น้ำหนาว,เพชรบูรณ์,แม่น้ำชี,ภาคเหนือ,R,POINT (784629.4793200148 1856052.8007594547),0
128,HUYG  ,อบต.หนองโพนงาม,16.4305312,101.9662784,หนองโพนงาม,เกษตรสมบูรณ์,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (816797.9825528725 1818880.3307951945),0
129,CSMO  ,อบต.ช่องสามหมอ,16.1166976,102.2319616,ช่องสามหมอ,แก้งคร้อ,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (845747.401904182 1784552.9285815042),0
130,BJIG  ,อบต.บ้านเจียง,16.0188304,101.5000896,บ้านเจียง,ภักดีชุมพล,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (767535.9106181182 1772629.7521208269),0
131,BKHI  ,ทต.บ้านค่ายหมื่นแผ้ว,15.6989632,102.0147712,บ้านค่าย,เมืองชัยภูมิ,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (823161.7846664533 1737938.8642565773),0
135,BPIA  ,อบต.ท่าสะอาด,17.4902416,101.9320896,ท่าสะอาด,นาด้วง,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (811390.4339323707 1936185.4393187033),0
136,KHPB  ,อบจ.เพชรบูรณ์,16.4412512,101.1490624,ในเมือง,เมืองเพชรบูรณ์,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (729465.6579026245 1818963.5508821981),0
137,POCE  ,อบต.กกสะทอน,17.0894928,101.110048,กกสะทอน,ด่านซ้าย,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (724535.7437333956 1890670.604208511),0
143,SITP  ,อบต.ศรีเทพ,15.4379056,101.162528,ศรีเทพ,ศรีเทพ,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (732055.6308412338 1707927.3686288546),0
147,NGPI  ,อบต.หนองไผ่,15.9816496,101.07376,หนองไผ่,หนองไผ่,เพชรบูรณ์,แม่น้ำป่าสัก,ภาคเหนือ,R,POINT (721936.4712414604 1768011.7347892853),0
150,PSLI  ,ทต.ไพศาลี,15.6001744,100.6571904,ไพศาลี,ไพศาลี,นครสวรรค์,แม่น้ำเจ้าพระยา,ภาคเหนือ,R,POINT (677675.0301592835 1725400.8451663267),0
155,DOCI  ,ทต.ทาสบเส้า,18.465392,99.1267456,ทาสบเส้า,แม่ทา,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (513381.9925196418 2041680.637908269),0
168,BTHI  ,ศูนย์อปพร. ทต.บ้านธิ,18.6517664,99.116512,บ้านธิ,บ้านธิ,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (512288.16603215894 2062300.8887896051),0
172,TEPT  ,อบต.โคกเริงรมย์,15.3994576,101.602592,โคกเริงรมย์,บำเหน็จณรงค์,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (779354.9743427287 1704194.208133449),0
173,SMSU  ,ทต.บ้านเต่า,16.3556384,102.3785984,บ้านเต่า,บ้านแท่น,ชัยภูมิ,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (861012.47962826 1811274.617525126),0
174,LHOK  ,อบต.เหล่ากอหก,17.4963824,100.8875136,เหล่ากอหก,นาแห้ว,เลย,แม่น้ำโขง,ภาคตะวันออกเฉียงเหนือ,R,POINT (700406.5565485038 1935461.3777238228),0
175,NNPT  ,อบต.วังทอง,17.3207936,102.0247936,วังทอง,นาวัง,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (821539.7689508222 1917571.965134139),0
177,BNHI  ,อบต.นาคำไฮ,17.2618176,102.338208,นาคำไฮ,เมืองหนองบัวลำภู,หนองบัวลำภู,แม่น้ำชี,ภาคตะวันออกเฉียงเหนือ,R,POINT (854999.2105188688 1911590.220860596),0
178,SENM  ,ทต.เสริมงาม,18.0662384,99.2494784,ทุ่งงาม,เสริมงาม,ลำปาง,แม่น้ำวัง,ภาคเหนือ,R,POINT (526400.6269948795 1997531.751136595),0
180,MRMT  ,อบต.แม่ระมาด,16.9899008,98.5182784,แม่ระมาด,แม่ระมาด,ตาก,แม่น้ำสาละวิน,ภาคเหนือ,R,POINT (448720.74394382176 1878500.8031749115),0
191,KGTP  ,ทต.คุ้งตะเภา,17.625312,100.1236672,คุ้งตะเภา,เมืองอุตรดิตถ์,อุตรดิตถ์,แม่น้ำน่าน,ภาคเหนือ,R,POINT (619209.3287035396 1949086.292009027),0
200,CHHA  ,ทต.ช่อแฮ,18.0888608,100.2121216,ช่อแฮ,เมืองแพร่,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (628261.720290736 2000438.0963124142),0
201,RGKG  ,อบต.ร้องกวาง,18.3588368,100.3339072,ร้องกวาง,ร้องกวาง,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (640932.8169483162 2030403.3711902387),0
202,SGMN  ,ศูนย์พัฒนาเด็กเล็ก อบต.สูงเม่น,18.0626656,100.0952832,สูงเม่น,สูงเม่น,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (615914.2667889711 1997462.1930779174),0
204,NMKI  ,ทต.หนองม่วงไข่,18.2642976,100.2001024,หนองม่วงไข่,หนองม่วงไข่,แพร่,แม่น้ำยม,ภาคเหนือ,R,POINT (626862.8807020755 2019843.2354584893),0
206,BNHG  ,ทต.บ้านโฮ่ง,18.3353328,98.8183552,บ้านโฮ่ง,บ้านโฮ่ง,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (480807.25315680215 2027295.676001277),0
208,CGMN  ,ทต.เชียงม่วน,18.8938416,100.28784,เชียงม่วน,เชียงม่วน,พะเยา,แม่น้ำยม,ภาคเหนือ,R,POINT (635639.8335312665 2089575.007037994),0
210,LEEE  ,ทต.วังดิน,17.8019888,98.9471552,ลี้,ลี้,ลำพูน,แม่น้ำปิง,ภาคเหนือ,R,POINT (494399.49981461314 1968279.3643988022),0
